client_segment,converted_deals,total_deals,conversion_rate,pct_total_deals,segment_revenue,avg_deal_size,avg_lead_time,percent_total_revenue
Catering Company/Florist,46,99,0.46,1.99,240334.0,5225.0,39.3,1.43
Conference or Trade Show,23,41,0.56,0.83,189036.0,8219.0,42.9,1.13
Creative Agency or Media Company,631,998,0.63,20.1,5408013.0,8571.0,30.9,32.26
Event Designer Planning and Production,912,1529,0.6,30.8,6809095.0,7466.0,62.1,40.62
In-house Company,367,614,0.6,12.37,2116873.0,5768.0,29.9,12.63
Photo,730,1351,0.54,27.21,920082.0,1260.0,5.4,5.49
Social No Planner,107,254,0.42,5.12,549748.0,5138.0,84.1,3.28
Venue,55,79,0.7,1.59,337226.0,6131.0,29.2,2.01
